,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какое растение называют дикой розой?,Шиповник,Акация,Жасмин,Розмарин
1,Как называется старинный крестьянский кафтан из толстого сукна?,Армяк,Казакин,Камзол,Епанча
2,Кто считается покровителем Венеции?,Марк,Иоанн,Матфей,Лука
3,Какой футбольный турнир первоначально назывался Кубок ярмарок?,Кубок УЕФА,Кубок Интертото,Кубок европейских чемпионов,Кубок обладателей кубков
4,"Кто поставил знаменитый японо-советский фильм ""Дерсу Узала""?",Акира Куросава,Ясудзира Одзу,Нагиса Осимо,Такэси Китано
5,Как в опере А. Рубинштейна «Демон» умерла Тамара?,От поцелуя Демона,От старости в монастыре,Бросилась со скалы,Утопилась в реке
6,В каком городе бюст А. С. Грибоедова украшает фасад театра оперы и балета?,Одесса,Тбилиси,Ереван,Санкт-Петербург
7," Как звали собаку Глана, героя романа Кнута Гамсуна ""Пан""?", Эзоп, Эдип, Ахилл, Аякс
8,Какой элемент является наиболее химически активным?,фтор,кислород,натрий,фосфор
9,Какая единица массы тяжелее?,слаг,американская пробирная тонна,квартер,пеннивейт
