,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Как называется искусство аранжировки цветов?,Икэбана,Харакири,Суши,Кэндо
1,"В каком городе расположен металлургический комбинат ""Азовсталь""?",Мариуполь,Запорожье,Азов,Таганрог
2,В каком из этих дворцов и замков обитали не французские короли?,Эскориал,Рамбуйе,Лувр,Версаль
3,Кто стал чемпионом Лиги чемпионов УЕФА 2011 года?,Барселона,Реал Мадрид,Зенит,Челси
4,Какой продукт имеет сорт валансе?,Сыр,Вино,Хлеб,Колбаса
5,"Что в повести А. Линдгрен «Братья Львиное Сердце» нужно было сделать, чтобы попасть в волшебную страну Нангиялу?",Умереть,Прокатиться на петухе задом наперёд,Уснуть на рассвете,Принести воды фее Анне
6,"Почему японский поэт, мастер хайку Исса Кобаяси считает, что ""рассыпать рис во дворе — тоже грех""?","""Птицы дерутся""","""Унесет его вихрь поутру""","""Скудный был урожай""","""Не прорастет на камне зерно"""
7,В каком соборе Франции хранится Святая плащаница Девы Марии?,Шартрский собор,Собор Амьенской Богоматери,Реймсский собор,Собор Нотр-Дам-де-Пари
8,"Какое название имеет зона моря или океана, не находящаяся в непосредственной близости от дна?",Пелагиаль,Абиссальная равнина,Бенталь,Афотическая зона
9,"Кого из этих знаменитых личностей называли ""Святой среди князей, князь среди святых""?",Абд аль-Кадир,Ясир Арафат,Патрис Лумумба,Анвар Садат
