,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Что чаще всего рисовал Иван Айвазовский?,море,горы,поле,лес
1,Что в современных легковых автомобилях не может подвергаться регулировке?,капот,сиденья,зеркала,руль
2,Какая самая длинная река на западном полушарии?,Амазонка,Колорадо,Арканзас,Миссисипи
3,"В какой стране Гулливер носил прозвище, на местном наречии означавшее «человечек»?",Страна великанов,Страна лилипутов,Лапута,Страна говорящих лошадей
4,В какой области добывается более 60 % нефти и более 90 % природного газа России?,Тюменская,Томская,Пермская,Свердловская
5,Чем в старину на Руси занимался рында?,Охранял царя,Лечил животных,Пахал землю,Звонил в колокола
6,Что в 1936 году придумал владелец сети супермаркетов в Оклахоме Сильван Голдман?,Тележку для покупок,Чековую ленту,День распродаж,Штрихкод
7,"Какой великий русский писатель окрестил Н. А. Некрасова ""головорезом карточного стола""?",И. С. Тургенев,В. Г. Белинский,Л. Н. Толстой,Ф. М. Достоевский
8,В каком государстве принят и действует до настоящего времени Закон о колдовстве?,Папуа — Новая Гвинея,Индия,Непал,Ватикан
9,Кто из перечисленных профессиональных игроков является трехкратным победителем Мирового тура покера?,Гус Хансен,Эрик Линдгрен,Говард Ледерер,Дэниел Негреану
