,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,В каком городе родился поэт Иосиф Бродский?,Ленинград,Москва,Воронеж,Одесса
1,Что такое город-призрак?,В нем нет жителей,Есть только в планах постройки,Он есть только в сказках,Там живут только призраки
2,"Какое мероприятие принесло Тому Сойеру дивиденды в виде яблока, бумажного змея, дохлой крысы, 12 шариков, оловянного солдатика и многого другого?",Покраска забора,Кража из тайника Бена Роджерса,Игра в орлянку,Пари с Гекльбери Финном
3,Какой турнир Большого Шлема по теннису проводится позже других в сезоне?,Открытый чемпионат США,Открытый чемпионат Австралии,Уимблдон,Ролан Гаррос
4,В названии произведения какого известного автора нет числительного 12?,Агата Кристи,Александр Блок,Самуил Маршак,"Илья Ильф, Евгений Петров"
5,Рядом с каким городом расположена Зона из романа Стругацких «Пикник на обочине»?,Хармонт,Пьемонт,Париж,Москва
6,"Что из перечисленного является апокрифами — книгами, отреченными христианской церковью?",Трепетники,Торжественники,Минеи,Измарагды
7,"Что является эмблемой серии научно-популярных книг «Библиотечка""Квант ""»?",Лента Мёбиуса,Знак бесконечности,Знак интеграла,Знак факториала
8,В каком из перечисленных городов есть памятник кошельку?,Краснодар,Омск,Красноярск,Томск
9,"Что стало с вождем саксов Видукиндом после войны, проигранной им королю франков Карлу Великому?",Принял христианство и был помилован,Стал личным шутом Карла,Был ослеплен и изгнан в Данию,Казнен после жестоких пыток
