,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Автором какого из этих романов не является Жюль Верн?,"""Капитанская дочка""","""Пятнадцатилетний капитан""","""Таинственный остров""","""Дети капитана Гранта"""
1,"Как называется красная лягушка, живущая на Мадагаскаре?",лягушка-помидор,лягушка-тореадор,лягушка-светофор,лягушка-командор
2,"Кто из персонажей романа Я. Гашека ""Похождения бравого солдата Швейка"" носит прозвище ""Крыло аиста с рыбьим хвостом""?",Кадет Биглер,Капитан Сагнер,Полковник Шредер,Подпоручик Дуб
3,Как называется коллекционирование денежных знаков?,Бонистика,Библиография,Филокартия,Филумения
4,В каком из этих алкогольных напитков содержится токсичный туйон?,Абсент,Мескаль,Ракия,Сакэ
5,"Кто призывал: «Сейте разумное, доброе, вечное...»?",Н. Некрасов,А. Пушкин,И. Тургенев,Л. Толстой
6,Кто является возбудителем скарлатины?,Стрептококк,Бацилла Коха,Дифтерийная палочка,Сальмонелла
7,Какому древнегреческому божеству было принято приносить в жертву собаку на перекрестке трех дорог?,Геката,Эрида,Гестия,Деметра
8,"Какой современный книгоиздатель стал прототипом множества второстепенных персонажей фантастической литературы, чаще всего погибающих по ходу сюжета?",Юрий Семецкий,Олег Новиков,Михаил Фербер,Игорь Захаров
9,"Гнома с каким именем не было среди героев повести Дж. Р. Р. Толкиена «Хоббит, или Туда и обратно»?",Тори,Ори,Нори,Дори
