,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какой был псевдоним у Емельяна Пугачёва?,Пётр III,Великий,Ерёма,Емеля
1,"Наука, которая изучает имена собственные:",Ономастика,Сфрагистика,Кличконимика,Гляциология
2,Какая из этих стран с Россией не граничит?,Армения,Азербайджан,Грузия,Латвия
3,Какая из этих богинь покровительствовала любви?,Афродита,Афина,Гера,Артемида
4,Актёром какого московского театра был Владимир Высоцкий?,Театр на Таганке,Театр им. Маяковского,Театр им. Ермоловой,Театр им. Вахтангова
5,Как называется южноамериканский аналог степи?,Пампасы,Тундра,Саванна ,Прерия
6,Назовите богиню - мать древнеегипетского бога Осириса?,Нут,Маат,Бастет,Исида
7,Какое из этих государств является анклавом на территории ЮАР?,Лесото,Ботсвана,Бурунди,Зимбабве
8,Частным случаем чего является спираль Фибоначчи?,Логарифмической спирали,Гиперболической спирали,Спирали Ферма,Архимедовой спирали
9,Как называется в балете прыжок с переносом ноги через ногу и поворотом в воздухе?,Револьтад,Сисон симпле,Антраша,Тан леве
