,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Как в древние века называлась историческая область, в которой располагалась Бухара?",Согдиана,Наргиз,Манижа,Севара
1,На каком музыкальном инструменте сегодня играют практически только женщины?,Арфа,Гитара,Скрипка,Фортепиано
2,"Какое имя было у феи в балете П.И.Чайковского ""Щелкунчик""?",Драже,Конфитюр,Мармелад,Монпансье
3,Кем приходится Пётр III Петру I?,Внук,Прямого родства не имеет,Правнук,Сын
4,Какое государство выпустило 50-центовую монетку с изображением Гэндальфа?,Новая Зеландия,США,Великобритания,Австралия
5,Какая из этих мышц отвечает за разгибание руки?,Трёхглавая,Двуглавая,Подостная,Плечелучевая
6,В храме какого древнегреческого божества находился знаменитый дельфийский оракул?,Аполлона,Деметры,Зевса,Афины
7,Какой русской мере жидкости соответствовал объем одного ведра в XIX веке?,10 кружек,20 кружек,15 кружек,8 кружек
8,Какой круизной судовой компании не существует?,Denmark Europe,Holland America,Royal Caribbean,Norwegian
9,"Как звали даосского бога-драконоборца, который появился из лотоса, рождённого его матерью?",Нэчжа,Рагараджа,Чзиньчжа,Мучжа
