,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Какой город в военные годы называли ""хлебным""?",Ташкент,Воронеж,Баку,Минск
1,Как звали братьев Стругацких?,Аркадий и Борис,Пётр и Павел,Гавриил и Михаил,Борис и Глеб
2,"Кто сказал: ""Привычка свыше нам дана: замена счастию она""?", А.Пушкин, Н.Некрасов, Г.Державин, М.Лермонтов
3,Кто из мифических героев освободил Прометея?,Геракл,Тесей,Ахиллес,Ясон
4,В какой области Уинстон Черчилль получил Нобелевскую премию?,Литература,Физика,Экономика,Укрепление мира
5,"В каком австрийском городе находится знаменитый музей фирмы ""Сваровски""?",Ваттенс,Грац,Клагенфурт,Зальцбург
6,Что из перечисленного не относят к разновидностям боевого топора?,Бебут,Кельт,Чекан,Сагарис
7,Какой немецкий самолёт времён Великой Отечественной войны в советских войсках имел прозвища «лаптёжник» и «певун»?,Junkers Ju 87,Focke-Wulf Fw 190 Würger,Heinkel He 111,Messerschmitt Bf. 109
8,Кто из этих великих китайцев родился раньше?,Лао Цзы,Конфуций,Сунь Цзы,Цинь Шихуанди
9,Из чего синтезируются половые гормоны человека?,Холестерин,Глутамин,Гистамин,Арахидоновая кислота
