,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Кого, согласно пословице, не следует покупать в мешке?",Кота,Собаку,Корову,Козла
1,Какое животное упоминается в Библии вместе с игольным ушком?,Верблюд,Бегемот,Жираф,Носорог
2,Какой орден существует в Великобритании?,чертополоха,одуванчика,георгина,пиона
3,Какая звезда изображена на флаге Аргентины?,Солнце,Полярная звезда,Вифлеемская звезда,Сириус
4,Из мочевого пузыря какого животного был изготовлен мяч на заре английского футбола?,Свиньи,Медведя,Коровы,Кабана
5,"Как имя собаки Понтия Пилата в романе ""Мастер и Маргарита""?",Банга,Димба,Бимба,Ванга
6,Какой алмаз украшал эфес шпаги Наполеона Бонапарта?,Регент,Шах,Евгения,Тигровый глаз
7,Что дало название государству Бразилия?,Дерево,Корабль,Минерал,Животное
8,"О каком городе средневековая испанская поговорка гласила: "" Кто не видел..., тот не видел чуда! ""?",Севилью,Барселону,Валенсию,Толедо
9,"Известно, что некоторые буквы кириллицы имели и цифровое значение. Чему равнялась буква ""Ферт""?",500,400,600,300
