,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какая часть света НЕ омывается водами Средиземного моря?,Америка,Азия,Африка,Европа
1,Как в музыке называют нестройное звучание двух и более тонов?,Диссонанс,Ренессанс,Конферанс,Резонанс
2,Кто расписывал церковь Спаса Преображения на Ильине улице в Великом Новгороде?,Феофан Грек,Максим Грек,Дионисий,Андрей Рублёв
3,Сколько раз в сказке Пушкина старик закидывал невод в море?,3,5,7,9
4,Какой зловещий персонаж упомянут в названии одного из фильмов о Джеймсе Бонде?,человек с золотым пистолетом,человек с хрустальным глазом,человек с алмазным перстнем,человек с платиновым кинжалом
5,Что на латинском языке означает слово «вирус»?,яд,зараза,угроза,предательство
6,Какое из перечисленных названий не относится к рыбке скалярии?,Король аквариума,Рыба-полумесяц,Рыба-ангел,Крылатый лист
7,Какой парк находится в столице Каталонии городе Барселона?,Цитадели,Эрмитаж,Променад,Люксембургский сад
8,Съемка различных сюжетов на один и тот же кадр в фотографии называется:,Мультиэкспозицией,Браком,Экономией пленки,Экспокоррекцией
9,Про кого Шерлок Холмс написал на полях тетради: «Самый опасный человек в Лондоне после Мориарти»?,Себастьян Моран,Гримсби Ройлотт,Джек Потрошитель,Аб Слени
