,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Рыба, вьющая гнезда в зарослях водорослей.",Морская колюшка,Осетр,Камбала,Угорь
1,"Какое правило определяет направление силы, действующей на проводник с током в магнитном поле?",Левой руки,Правого колена,Левой ноги,Указательного пальца
2,Какой немецкий город является финансовым центром?,Франкфурт-на-Майне,Кельн,Дюссельдорф,Гамбург
3,В каком периоде таблицы Менделеева отсутствуют металлы?,1,5,3,7
4,Для какой породы кошек характерны очень короткие лапы?,Манчкин,Сиамская кошка,Абиссинская,Турецкая ангора
5,В каком году прошел первый чемпионат мира по автогонкам Формула-1?,1950,1932,1938,1928
6,На гербе какого государства изображена арфа?,Ирландия,Тунис,Греция,Кипр
7,Чему равна 1 английская пинта?,0.568 л,0.142 л,4.546 л,1.136 л
8,Какой по счёту женщиной-знаменосцем в истории отечественного спорта стала Мария Шарапова?,Первой,Третьей,Четвёртой,Второй
9,В состав какого блюда не входит куриное яйцо?,эскарго,сабайон,бризоль,льезон
