,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Как обычно говорят об абсолютно законной сделке?,Юридически чистая,Экспертно стерильная,Законно опрятная,Судебно аккуратная
1,"""Фирменным"" спектаклем какого театра является ""Принцесса Турандот""?",Имени Вахтангова,"""Ленком""",Сатиры,БДТ
2,"Какое слово произнёс наоборот пёс Шарик, превращаясь в человека, в повести «Собачье сердце»?",рыба,молоко,мясо,яйца
3,"О приобретении какой собственности мечтал отец Федор из ""Двенадцати стульев""?",Свечной заводик,Иконописная мастерская,Похоронное бюро,Кроличья ферма
4,"Какое воинское звание было у Хозе в опере ""Кармен""?",Сержант,Майор,Лейтенант,Солдат
5,Какая столица является самой холодной в мире?,Улан-Батор,Хельсинки ,Осло,Оттава
6,Как называется вставка на груди женских блузок?,Шемизетка,Рюш,Брыжи,Горжетка
7,В каком виде спорта слабовидящий кореец Им Дон Хьюн стал двукратным олимпийским чемпионом?,Стрельба из лука,Плавание,Фехтование,Настольный теннис
8,Какого моря нет на поверхности Луны?,Снов,Нектара,Паров,Мечты
9,"Кто из русских адмиралов прославился победой над турецким флотом при Очакове, но был разбит шведами во 2-м сражении при Роченсальме?",Карл Генрих Нассау-Зиген,Самуил Грейг,Федор Ушаков,Василий Чичагов
