,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Как проигрывают матч, не забив в нём ни единого гола?",всухую,вхолостую,вслепую,вкрутую
1,Что так напугало зрителей во время демонстрации братьями Люмьер первого кинофильма?,Паровоз,Самолет,Трамвай,Теплоxод
2,Что из перечисленного является галогеном?,Астат,Ксенон,Радий,Франций
3,"Кто впервые в истории авиации выполнил фигуру высшего пилотажа ""мертвая петля""?",Нестеров,Ефимов,Чкалов,Покрышкин
4,На какой улице родился Владимир Высоцкий?,Большой Каретный переулок,3-я Мещанская,Малая Грузинская,1-я Мещанская
5,Кто был первым президентом Израиля?,Хаим Вейцман,Моше Даян,Голда Меир,Леви Эшкол
6,"Как дословно переводится название защитной стойки в боксе ""пик-а-бу""?",Игра в прятки,Попади в меня,Догони меня,Игра с огнем
7,Сколько метров в одном русском аршине?,0.71,0.72,0.70,0.73
8,В честь кого в 1901 году Рудольф Герцог обозначил символами IA1 первый в истории автомобильный номер?,жены,матери,самого себя,дочери
9,Войска какого советского полководца помешали фельдмаршалу Манштейну прорвать Сталинградский котел?,Р. Малиновского,Н. Ватутина,П. Ротмистрова,А. Еременко
