,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,На поверхности какого электронного устройства можно увидеть рабочий стол?,Монитор,Клавиатура,Модем,Принтер
1,"Какой головной убор НЕ надевают, а наматывают?",Чалму,Тюбетейку,Феску,Канотье
2,Какой полуостров отделён от Африки Гибралтарским проливом?,Пиренейский,Апеннинский,Галлипольский,Балканский
3,В какой из этих стран денежная единица не крона?,Финляндия,Швеция,Дания,Чехия
4,Как называется двугорбый верблюд?,Бактриан,Дромедар,Нар,Дромадер
5,Сколько раз советские футболисты удостаивались «Золотого мяча»?,3,5,7,1
6,Кто из них не является моллюском?,тихоходка,янтарка,катушка,живородка
7,"Как называется брак, заключенный членом королевской семьи с лицом некоролевского происхождения?",Морганатический,Фантомный,Асимметричный,Мезальянс
8,"Какого короля Швеции называли ""Снежный король"" и ""Лев Севера""?",Густава II Адольфа,Карла XII,Карла Х Густава,Карла IX
9,"Какие две страны — единственные, не имеющие выхода к Мировому океану и граничащие только со странами, не имеющими выхода к Мировому океану?",Лихтенштейн и Узбекистан,Люксембург и Эфиопия,Молдавия и Парагвай,Чехия и Казахстан
