,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Какая ветка стоит на столе героини песни Валерия Залкина ""Запах сирени""?",Одинокая,Пушистая,Душистая,Красивая
1,"Как иначе называют гибридную монету, отчеканенную штемпелями от разных монет?",Мул,Лошак,Лама,Пони
2,Какой из этих минералов с точки зрения химии является простым веществом?,Алмаз,Изумруд,Кварц,Базальт
3,Какой из этих городов является столицей Швейцарской конфедерации?,Берн,Женева,Базель,Цюрих
4,Какое из этих государств не входит в состав Британского содружества?,Индонезия,Кения,Канада,Австралия
5,Какой из этих городов не является столицей государства?,Дар-эс-Салам,Фритаун,Нукуалофа,Эр-Рияд
6,В каком штате США находится Большое Солёное озеро?,Юта,Аризона,Монтана,Колорадо
7,В каком году произошла Невская битва?,1240,1812,1989,1943
8,Разновидностями какого из этих языков Евразии являются гегский диалект (на севере страны) и тоскский (на юге)?,Албанский,Иранский,Урду,Греческий
9,Какой из перечисленных препаратов не является анаболическим стероидом?,Кетобемидон,Туринабол,Ретаболил,Метандростенолон
