,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,В каком режиме полёта часто находятся космические аппараты?,в автономном,в температурном,в постельном,в пропускном
1,Что врач измеряет у больного при помощи градусника?,Температуру тела,Частоту пульса,Давление крови,Коэффициент интеллекта
2,Какую фамилию носил главный герой рассказа «Ионыч»?,Старцев,Туркин,Гаев,Епиходов
3,"Как пишется слово ""пр(?)в(?)легированный""?",Привилегированный,Привелегированный,Превилегированный,Превелегированный
4,Какое произведение Андерсена экранизировали чаще других?,«Снежная королева»,«Принцесса на горошине»,«Огниво»,«Дюймовочка»
5,Какая автомобильная компания использует в своей эмблеме герб рода Висконти?,Альфа Ромео,Форд,Феррари,Ламборджини
6,Какой город 13 лет успешно противостоял осаде армией вавилонского царя Навуходоносора?,Тир,Иерусалим,Сидон,Дамаск 
7,Какую часть тела древнерусского воина защищала бармица?,Шею,Живот,Локти,Бедра
8,Какой из этих футболистов сыграл наибольшее количество игр в финальной части чемпионатов мира?,Л. Маттеус,Д. Буффон,М. Загалло,П. Мальдини
9,Какой русский князь был впервые поставлен на княжество с использованием шапки Мономаха?,Дмитрий Иванович,Василий Иванович,Иван Васильевич,Иван Иванович
