,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Сколько лет исполнилось Санкт-Петербургу в 2003 году?,300,180,578,303
1,Какой танец композитор Огинский назвал «Прощание с родиной»?,полонез,мазурка,краковяк,вальс
2,Чему равен 1 байт?,8 бит,4 бита,16 бит,2 бита
3,В каком из городов России расположен самый длинный в мире метромост?,Новосибирск,Волгоград,Нижний Новгород,Москва
4,"Какая картина получила Оскар в категории ""Лучший зарубежный фильм"" в 2000 году?","""Все о моей матери""","""Под солнцем""","""Караван""","""Восток-Запад"""
5,"Какой поэт сказал: «Русская история до Петра Великого — сплошная панихида, а после - одно уголовное дело»?",Ф. Тютчев,А. Пушкин,М. Лермонтов,Н. Некрасов
6,"Какой композитор написал к своей опере арию, в которой есть слова: «Фигаро здесь, Фигаро там...»?",Дж. Россини,Дж. Верди,М. И. Глинка,В. Моцарт
7,Когда умер последний странствующий голубь?,В 1914 году,В 1805 году,В 2011 году,В 1936 году
8,Кто из них является худшим медоносом?,Пизония брунониевая,Очиток едкий,Чернокорень лекарственный,Сурепка обыкновенная
9,Какая буква отсутствует в современном исландском алфавите?,Z,Ö,H,Æ
