,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Как заканчивался лозунг эпохи социализма: «Нынешнее поколение советских людей будет жить…»?,при коммунизме,на Марсе,долго и счастливо,не тужить
1,Какие животные помогают грибникам искать трюфели?,Свиньи,Козы,Белки,Ежи
2,От чего умер Сократ?,От яда,От простуды,От тюремных пыток,От старости
3,Какой вулкан расположен в Антарктиде?,Эребус,Килиманджаро,Котопахи,Орисаба
4,"В какое время было написано стихотворение, ставшее впоследствии гимном Москвы?",Во время Великой Отечественной войны,Во время летней олимпиады 1980 года,Во время фестиваля молодёжи и студентов 1957 года,Во время празднования 800-летия Москвы
5,Какую страну придумала Урсула К. Ле Гуин?,Земноморье,Срединные Земли,Бробдингнег,Средиземье
6,Как изначально называлась Красная площадь в Москве?,Торг,Базар,Рынок,Ярмарка
7,Какой твердости не существует?,По Вердонку,По Виккерсу,По Бринелю,По Роквеллу
8,На гербе (эмблеме) какого государства изображен Гаруда — ездовое животное бога Вишну?,Таиланд,Непал,Шри-Ланка,Индия
9,"Кто озвучил Чернушку в мультфильме 1975 года ""Чёрная курица""?",Зиновий Гердт,Алексей Баталов,Михаил Ульянов,Валентин Гафт
