,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Как называется врач, занимающийся диагностикой и лечением органов дыхательной системы?",Пульмонолог,Проктолог,Дерматолог,Эндокринолог
1,Чем в сказке Пушкина злая царица угрожала Чернавке?,Рогаткой,Нагайкой,Лишением премии,Веревкой
2,"Где находится город Касли, известный во всём мире изделиями из литого металла?",Россия,Великобритания,США,Германия
3,Как по-французски звучит выражение «Зажми нос»?,Пенсне,Монокль,Лорнет,Окуляр
4,Чему равна разница между количеством зубов верхней и нижней челюстями у кошек?,2,0,4,6
5,Кто из перечисленных является морской рыбой?,Сарган,Барасинга,Голотурия,Гуахаро
6,"Кто был легендарный Гамбринус, которому приписывают изобретение пива?",Фламандец,Ирландец,Чех,Баварец
7,"Собаку какой породы прославил Э. Сетон-Томпсон в книге ""Животные-герои""?",Бультерьер,Фокстерьер,Колли,Сенбернар
8,Кто из них не был советским конструктором противотанковых ружей?,Обрант,Шпитальный,Блюм,Дегтярёв
9,Вождем антиримского восстания каких племен был Верцингеториг?,Галлов,Иберов,Даков,Этрусков
