,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Как называют политику, использующую в равной пропорции убеждение и принуждение?",кнута и пряника,секиры и зефира,пилы и пастилы,палки и селёдки
1,"Кому приписывают авторство пьес, подписанных «У. Шекспир»?",Бэкон,Рэлей,Адамс,Шоу
2,"Как называется жилое помещение, расположенное под крышей здания?",Мансарда,Терраса,Веранда,Мезонин
3,Кто из этих слуг мушкетеров служил Атосу?,Гримо,Планше,Базен,Мушкетон
4,Как грузины называют свою родину?,Сакартвело,Имерети,Кахети,Самцхве-Саатабаго
5,"Камышовая кошка - это то же, что …",Хаус,Манул,Ирбис,Каракал
6,"Что означает слово ""гарем"" в переводе на русский?",запрет,женщины,дом,власть
7,Кому умирающий А. С. Пушкин подарил кольцо с изумрудом?,В. И. Далю,В. А. Жуковскому,И. С. Тургеневу,Старшей дочери
8,"Какой художник, будучи фактически парализованным, искалеченными руками писал картины до последнего дня жизни? ",Огюст Ренуар,Альфред Сислей,Поль Сезанн,Анри Матисс
9,До какого чина дослужился старший сын А. Пушкина?,Генерал,Полковник,Майор,Штабс — капитан
