,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Как называется торт в форме полуцилиндра?,«Полено»,«Бревно»,«Дупло»,«Дерево»
1,Что в арсенале рыбака предназначено для пробивки льда?,пешня,блесна,кукан,мормышка
2,Что находится на расстоянии одной астрономической единицы от Земли?,Солнце,Луна,Сириус,Полярная звезда
3,Какая река имеет притоки Уругвай и Парагвай?,Парана,Колорадо,Миссисипи,Евфрат
4,В каком городе решается судьба Нобелевской премии мира?,Осло,Копенгаген,Стокгольм,Хельсинки
5,На что Петр I ввёл пошлину 5 сентября 1698 года?,На ношение бороды,На пьянство,На ношение русского платья,На скоморошество
6,Какой день по народному календарю считается началом бабьего лета?,Семёнов,Иванов,Петров,Ильин
7,Сколько братьев было у Элизы в сказке Андерсена «Дикие лебеди»?,11,10,7,9
8,"Во сколько раз палочек в сетчатке глаза у кошки больше, чем колбочек?",25,15,10,20
9,"Какую важную, но не имеющую к собственному литературному творчеству вещь сделал Крылов?","Служа в Публичной библиотеке, занимался составлением каталогов и комплектованием книг","Написал картину, которая висела у него дома",Опубликовал математическое исследование,"Помогал Грибоедову в написании ""Горя от ума"""
