,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Как заканчивается строка из песни «Чунга-Чанга», которая начинается словами «Наше счастье постоянно…»?",Жуй кокосы! Ешь бананы!,Мы живём тут сыто-пьяно!,Не страшны нам хулиганы!,Фестиваль проходит в Каннах!
1,Какой бог часто изображён как круглолицый крылатый младенец с луком и стрелами?,Купидон,Зевс,Меркурий,Посейдон
2,"Какой месяц завершал год в шумерском календаре, придуманном в городе Ниппур?",месяц жатвы,месяц сена,месяц зажигания огней,месяц полбы
3,Плакат с каким лозунгом существовал во время Великой Отечественной войны в Советском Союзе?,«Таран — оружие героев»,«Штык — оружие героев»,«Булыжник — оружие героев»,«Топор — оружие героев»
4,Из чего получают рыжиковое масло?,Из семян травянистого растения,Из ботвы моркови,Из плодов одноимённого дерева,Из грибов
5,Какой из этих фильмов-сказок поставил не Александр Роу?,"""Илья Муромец""","""Кащей Бессмертный""","""Морозко""","""Василиса Прекрасная"""
6,Кто первым из монгольских правителей принял ислам?,Берке,Батый,Хулагу,Джучи
7,Кто из писателей написал роман «Странное открытие» — продолжение «Повести о приключениях Артура Гордона Пима» Эдгара Алана По?,Чарльз Ромин Дейк,Джейкоб Аббот,Джеймс Фенимор Купер,Вашингтон Ирвинг
8,За какое открытие австрийский учёный Карл фон Фриш получил в 1973 году Нобелевскую премию?,язык пчёл,лекарство от проказы,инфракрасные лучи,элемент технеций
9,Кто был последним белым правителем Южно-Африканской Республики?,Фредерик Виллем де Клерк,Маре Фильюн,Питер Виллем Бота,Балтазар Йоханнес Форстер
