,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Что из этого является кислотой?,HNO3,NH3,CO2,Cl2
1,"Кто автор картины ""Черный квадрат""?",Малевич,Гоген,Ван Гог,Пикассо
2,Какой цвет обязателен в гжельской росписи?,Синий,Чёрный,Красный,Зелёный
3,Какой город является столицей Хакасии?,Абакан,Сорск,Саяногорск,Черногорск
4,Кто автор философского труда «Материализм и эмпириокритицизм. Критические заметки об одной реакционной философии»?,В. Ленин,Ф. Энгельс,К. Маркс,И. Сталин
5,"Какие индейцы готовили напиток ""Чоколатль""?",Ацтеки,Майя,Ирокезы,Инки
6,"На месте какой битвы стоит памятник не победителю, а побеждённому?",Битва при Алезии,Битва при Верцеллах,Битва при Тицине,Битва при Гераклее
7,"В каком государстве был воздвигнут памятник Статуи Свободы, который сегодня находится в США?",Франция,Италия,Германия,Англия
8,Какая английская королевская династия сменила династию Стюартов?,Ганноверская,Тюдоры,Виндзорская,Йорки
9,Какой из этих белков придает красный цвет мышцам?,Миоглобин,Гемоглобин,Миозин,Цитохром С
