,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какой из этих напитков с запахом миндаля?,Амаретто,Бейлис,Абсент,Мартини
1,Как называют первобытного пещерного человека?,Троглодит,Варвар,Абориген,Вандал
2,Что из этого следует класть в сборную солянку?,Каперсы,Ревень,Пастернак,Цукини
3,"Сколько стоило (в рублях) новое платье кошки из ""Кошкиного дома"" С. Я. Маршака?",Тысячу,Ровно сто,Двадцать пять,Целых пять
4,Чему равна скорость света?,299 792 км/с,305 478 км/с,285 733 км/с,278 524 км/с
5,Кем были Гнесины - основатели музыкальной аккадемии в Москве?,Сестрами,Супругами,Братьями,Однофамильцами
6,Какой из перечисленных фильмов не входит в «долларовую трилогию» вестернов с участием Клинта Иствуда?,«За пригоршню динамита»,"«Хороший, плохой, злой»",«На несколько долларов больше»,«За пригоршню долларов»
7,Кого называли «поваром королей и королём поваров»?,Мари Антуан Карем,Люсьен Оливье,Поль Бокюз,Франсуа Ватель
8,"Где происходит действие исторического романа Гюстава Флобера ""Саламбо""?",В Карфагене,Во Франции,В Древней Греции,В Древнем Риме
9,"Кто из великих князей Московских впервые в истории Руси был назван в международном договоре ""императором русов""?",Василий III,Иван III,Иван IV,Василий II
