,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Кем работал дядя Стёпа в стихотворении Михалкова?,милиционером,пожарным,врачом,учителем
1,Как на русский язык переводится слово «буллит»?,пуля,шайба,ворота,клюшка
2,"Чего не делают в ледяной воде охотники за удачей, птицей цвета ультрамарин, в песне «Машины времени»?",не плачут,не тонут,не мёрзнут,не пьют
3,Какая карта способна побить туза в игре «пьяница»?,Шестерка,Король,Семерка,Дама
4,Какого воинского звания не носил Юрий Гагарин?,капитан,старший лейтенант,лейтенант,майор
5,Как называется опера Антонио Вивальди?,«Олимпиада»,«Чемпионат»,«Спартакиада»,«Универсиада»
6,Какая единица в системе СИ носит имя изобретателя Николы Тесла?,магнитной индукции,электрической проводимости,радиоактивности,напряжения
7,"К какой из этих ""божественных"" групп принадлежали главные боги скандинавской мифологии во главе с Одином?",Асы,Турсы,Альвы,Ваны
8,"Кем работал А. Камминг, получивший патент на туалет с водяным затвором?",Часовщик,Пожарный,Констебль,Кулинар
9,Как называется один из важнейших фондовых индексов в Японии?,Nikkei,Nippon,Yisei,Nisei
