,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какой сад сумел приобрести купец Лопахин в одноименной пьесе А. П. Чехова?,Вишневый,Яблоневый,Грушевый,Сливовый
1,"Какое слово при выражении сожаления о поступке считается просторечной формой, и произносить его, согласно этикету, неверно?",Извиняюсь,Простите,Извините,Виноват
2,Какая горная система самая высокая на Земле?,Гималаи,Тянь-Шань,Памир,Анды
3,Какой фильм Квентин Тарантино снимал в соавторстве с другими режиссёрами?,«Четыре комнаты»,«Убить Билла»,«Бешеные псы»,«Криминальное чтиво»
4,"В какой из этих стран в 1967г. к власти пришли ""черные полковники""?",Греция,Италия,Дания,Гибралтар
5,"Как в геометрии называют замкнутую гладкую выпуклую кривую, имеющую только одну ось симметрии?",Овоид,Эллипс,Круг,Овал
6,Когда поступает  в продажу первое вино года?,Третий четверг ноября,Последняя пятница сентября,Первый вторник октября,Первая среда декабря
7,В день рождения какого аргентинского музыканта отмечается Международный день танго?,Карлос Гардель,Энрике Родригес,Хуан Д’Арьенцо,Астор Пьяццолла
8,"Кто, получая в один день с Р. Киплингом звание почетного доктора Оксфорда, назвал его «принцем Республики Литературы»?",Марк Твен,Сомерсет Моэм,Джон Голсуорси,Бернард Шоу
9,Что не присылали приговоренному к смерти ку-клукс-клановцы?,Семечки яблока,Семена дыни,Дубовую ветку,Апельсиновые зёрнышки
