,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Что часто добавляют в кондитерские изделия?,Кокосовую стружку,Кокосовые опилки,Кокосовые щепки,Кокосовый лапник
1,"Что получает каждый игрок хоккейной команды, завоевавшей Кубок Стэнли?",перстень,колье,серьги,диадему
2,"К кому обращается в своей песне Булат Окуджава, сообщая, что век недолог?",К кавалергардам,К уланам,К гренадерам,К юнкерам
3,Кого сыграл эстрадный певец Рики Мартин в бродвейской постановке мюзикла «Эвита»?,Эрнесто Че Гевару,Хуана Перона,Брата Хуана,Агустина Магальди
4,"Как называлось мифическое существо с туловищем льва, а головой и крыльями орла?",Грифон,Кентавр,Сфинкс,Химера
5,"Что побудило Фернана Магеллана дать название ""Огненная земля"" открытому им архипелагу возле южных берегов Америки?",Костры аборигенов,Извержения вулканов,Гроза с большим количеством молний,Южное полярное сияние
6,Что такое колобашка?,Приспособление для плавания,Липовый настил,Короб из лыка,Столярный инструмент
7,"Какой остров португальцы за красоту природы назвали ""Формоза""?",Тайвань,Куба,Гавайи,Таити
8,"Представители какой страны в сезоне 1989/1990 выиграли и Кубок Чемпионов, и Кубок Кубков, и Кубок УЕФА?",Италия,Испания,Германия,Франция
9,"Как называется спутник карликовой планеты Эрида, открытый 10 сентября 2005 года?",Дисномия,Никта,Намака,Актея
