,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какой комнатный цветок сжевал Козел в Кошкином доме?,Герань,Фикус,Кактус,Столетник
1,Кто автор слов: «Для пользы всех мне можно всё»?,А. Радищев,А. Пушкин,В. Маяковский,С. Есенин
2,Флаг какой страны был взят за основу при разработке флага Италии?,Франции,Андорры,Бельгии,Венгрии
3,Какой «смешарик» разговаривает с немецким акцентом?,Пин,Лосяш,Нюша,Карыч
4,Что из этого является видом мебели?,Канапе,Канюля,Консоме,Канотье
5,Какой единственный советский журналист-международник встречался с руководством Ку-клукс-клана?,В. Зорин,В. Кондратьев,В. Чернышев,Ю. Жуков
6,"Какой природный материал использовал художник Александр Юрков для своих произведений, созданных в придуманном им жанре ""флорийская мозаика""?",Листья,Жёлуди,Шишки,Цветы
7,"Какое чудовище, согласно мифам, появляется на свет из яйца, снесенного петухом и высиженного жабой?",Василиск,Гиппогриф,Гарпия,Тяньгоу
8,"Какого известного москвича называли ""первым русским водочным королем""?",П. Е. Пашкова,П. А. Смирнова,Н. Л. Шустова,Г. Г. Елисеева
9,"Какое из этих слов не является названием одного из зародышевых листков, из которых развиваются разные органы и ткани многоклеточных животных?",Эпидерма,Мезодерма,Эктодерма,Энтодерма
