,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,На каком континенте живет жираф?,Африка,Америка,Австралия,Азия
1,Что означает старинное слово ланиты?,Щеки,Губы,Ресницы,Уши
2,Какой город является столицей Нагорно-Карабахской Республики?,Степанакерт,Аскеран,Гудаута,Шуши
3,Как Гоголь определил жанр своего произведения «Мёртвые души»?,Поэма в прозе,Современная былина,Роман в стихах,Научный трактат
4,"Какой цветок англичане называют ""снежной серёжкой""?",Подснежник,Эдельвейс,Цикламен,Мимоза
5,Какая басня не принадлежит перу И. А. Крылова?,"«Лягушка, Крыса и Журавль»","«Собака, Человек, Кошка и Сокол»","«Лев, Серна и Лиса»","«Лебедь, Щука и Рак»"
6,Какой цвет является траурным в Бразилии?,Пурпурный,Черный,Белый,Желтый
7,Какой английский король подписал Великую Хартию Вольностей?,Иоанн Безземельный,Ричард Львиное Сердце,Ричард III,Карл I
8,Долгое время лидером фовизма являлся живописец Анри Матисс. От какого слова произошло название этого течения?,Хищник,Бандит,Агрессор,Волк
9,Какую фамилию носила няня Пушкина - Арина Родионовна?,Яковлева,Павлова,Семенова,Васильева
