,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какое из этих названий островного жителя написано неправильно?,Кипрец,Корсиканец,Сицилиец,Мальтиец
1,"Как назывались футбольные команды, на матче которых побывали старик Хоттабыч и Волька в повести-сказке Л. И. Лагина?","""Шайба"" и ""Зубило""","""Мяч"" и ""Долото""","""Волан"" и ""Рубанок""","""Бумеранг"" и ""Резец"""
2,Какая из достопримечательностей Венеции располагается не на площади Сан-Марко?,Арсенал,Дворец Дожей,Собор Святого Марка,Колокольня Кампанила
3,"В каком виде ""мы обожаем кабанов"" из песни В. С. Высоцкого?",В окороках,В буженине,В карбонаде,В рёбрышках
4,Клетка какой ткани называется адипоцит?,Жировой,Костной,Эпителия кишечника,Эпидермиса
5,Режиссёр с какой фамилией снял популярный телевизионный сериал «Бригада»?,Сидоров,Иванов,Васильев,Петров
6,В честь какого русского писателя 7 сентября 2014 года в Нью-Йорке была названа улица?,С. Довлатова,М. Шолохова,М. Горького,А. Платонова
7,Какой парк находится в столице Каталонии городе Барселона?,Цитадели,Эрмитаж,Променад,Люксембургский сад
8,"В виде чего изображён нос на картине ""Портрет императора Рудольфа II в образе Вертумна"" Джузеппе Арчимбольдо?",Груша,Морковь,Слива,Огурец
9,Какой московский театр находится в здании существовавшего в 1882–1933 годах Русского драматического театра Корша?,Театр наций,Театр Луны,"""Современник""","""Мастерская П. Н. Фоменко"""
