,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Что большинство мужчин каждое утро берёт в руки?,Станок,Сенокосилку,Трактор,Комбайн
1,Как звали слугу Обломова в романе И. Гончарова?,Захар,Остап,Архип,Осип
2,"В каком из этих аэропортов оказываются пассажиры, прилетевшие в Лондон?",Хитроу,Гандер,Орли,Адлер
3,При ком было отменено гетманство?,Екатерина II,Александр I,Александр II,Николай I
4,Какой ликер изготавливают на основе корочек горьких и сладких померанцев?,Куантро,Бейлиз,Калуа,Малибу
5,"Кто является соавтором и исполнителем официального гимна ЧМ-2010 по футболу, признанного многими изданиями лучшей песней FIFA World Cup всех времён?",Шакира,Дженнифер Лопес,Кристина Агилера,Рианна
6,Какая древнеримская богиня изображена на медали Почёта — высшей военной награде США?,Минерва,Теллура,Беллона,Церера
7,Что считает главной ошибкой своей молодости Чарльз Карсон — добропорядочный дворецкий из сериала «Аббатство Даунтон»?,Выступление на сцене кабаре,Попадание в тюрьму за кражу,Работу уборщиком в зоопарке,Случайное убийство жены
8,Какой химический элемент преобладает в лунном реголите?,Кислород,Водород,Кремний,Алюминий
9,"Какая зарубежная песня звучит в советском мультфильме ""История одного преступления""?","""Long Tall Sally"" (Elvis Presley)","""Yesterday"" (The Beatles)","""Sympathy for the Devil"" (The Rolling Stones)","""Riders on the Storm"" (The Doors)"
