,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,С какого цвета начинается радуга?,Красный,Черный,Зеленый,Фиолетовый
1,Какая птица клевала печень прикованного к скале Прометея?,орёл,сокол,ворон,гриф
2,На какой реке расположен город Пермь?,Кама,Урал,Лена,Волга
3,Какой футболист установил рекорд чемпионатов мира по числу забитых голов в одном матче?,Олег Саленко,Пеле,Мирослав Клозе,Эйсебио
4,"Какая из перечисленных опер, написанных по произведениям Пушкина, не принадлежит Чайковскому?",«Борис Годунов»,«Мазепа»,«Пиковая дама»,«Евгений Онегин»
5,Какой из этих грибов не является галлюциногенным?,зеллеромицес,мухомор пантерный,псилоцибе,волоконница
6,В каком из штатов Америки нет смертной казни?,Коннектикут,Джорджия,Вирджиния,Техас
7,В какой геологический период на Земле появились первые насекомые?,Девон,Карбон,Ордовик,Кембрий
8,Какова была длина марафонской дистанции на первых Олимпийских играх в 1896 году?,40 км,42 км 195 м,36 км,42 км
9,Какого художника современники прозвали «штанописец»?,Даниэле да Вольтерра,Франческо Пармиджанино,Джованни Беллини,Антонио Корреджо
