,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Как Робинзон Крузо назвал своего друга туземца?,Пятница,Среда,Понедельник,Выходной
1,Какое из этих созвездий не является зодиакальным?,Лира,Стрелец,Водолей,Весы
2,Какое животное обитает на острове Тасмания?,сумчатый дьявол,сумчатый призрак,сумчатый вампир,сумчатый зомби
3,Как водители называют крытый кузов грузовых машин?,будка,конура,загон,стойло
4,"Что из этого — кинжал итальянского происхождения с узким клинком, не имеющим режущей кромки?",Стилет,Крис,Ланцет,Эсток
5,"Из чего сделана колесница, памятник которой стоит в городе Хампи?",Камень,Мел,Дерево,Пемза
6,Кто на Украине манифестом ликвидировал Запорожскую Сечь?,Екатерина II,Николай I,Анна Иоанновна,Павел I
7,Какой архитектор был автором проекта Храма Христа Спасителя?,К. А. Тон,М. Ф. Казаков,К. И. Росси,В. И. Баженов
8,Назовите имя верного друга Ореста из греческой мифологии. В переносном смысле оно употребляется для характеристики лучшего друга,Пилад,Энцелад,Патрокл,Аристид
9,"Какого ученого (энтомолога) Виктор Гюго назвал ""Гомером насекомых""?",Жана Анри Фабра,Виктора Мочульского,Рональда Росса,Чарльза Дарвина
