,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,На какой срок собирался уехать в Комарово герой известной песни?,Неделька,Денёк,Месячишко,Годик
1,Какой была фамилия главного героя в романе Ф. М. Достоевского «Преступление и наказание»?,Раскольников,Тумбочкин,Расторгуев,Чикатило
2,Кто из российских самодержцев достиг максимального порядкового номера?,Иван,Петр,Николай,Александр
3,Кто написал рассказ «Снега Килиманджаро»?,Э. Хемингуэй,Дж. Оруэлл,Ф. С. Фитцджеральд,Ж. П. Сартр
4,Удаление какого органа у человека несовместимо с жизнью?,Печень,Селезенка,Легкое,Почка
5,Какая из этих древнегреческих богинь не была сестрой Зевса?,Афина,Деметра,Гера,Гестия
6,Какая из этих звезд по спектральному классу является бело-голубой?,Ригель,Вега,Арктур,Бетельгейзе
7,Какой из этих футбольных клубов бразильский?,«Гремио»,«Ривер Плэйт»,«Олимпия»,«Пеньяроль»
8,"Какая отечественная актриса дебютировала в кино в младенческом возрасте, сыграв роль украденного мальчика в фильме ""Милый, дорогой, любимый, единственный...""?",Дарья Мороз,Елизавета Боярская,Любовь Толкалина,Оксана Фандера
9,"Девизом какой из этих стран является фраза ""Лишь истина побеждает""?",Индия,Бутан,Бангладеш,Пакистан
