,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Как называется устройство автомобиля, которое запускает двигатель?",Стартер,Стайер,Скутер,Спринтер
1,Как называется звуковой объём голоса или музыкального инструмента?,диапазон,тембр,тон,высота
2,Какой город не входит в состав Золотого кольца России?,Коломна,Сергиев Посад,Кострома,Иваново
3,Какой премии в 2014 году были удостоены Пол Маккартни и Ринго Старр «за особый вклад и достижения»?,«Грэмми»,«Эмми»,«Оскар»,«Тони»
4,В какой опере на либретто самого композитора действующими лицами являются персонажи итальянской комедии масок Труффальдино и Смеральдина?,«Любовь к трём апельсинам»,«Бал-маскарад»,«Турандот»,«Паяцы»
5,Какой цветок стал символом революции в Киргизии?,Тюльпан,Роза,Нарцисс,Гвоздика
6,Чем отличился в 18 веке французский дворянин шевалье Д&#39;Эон?,Всем перечисленным,Полжизни провел как женщина,Был отличным фехтовальщиком,Был тайным агентом
7,Кто из перечисленных не выигрывал турниров Большого Шлема?,Николай Давыденко,Светлана Кузнецова,Анастасия Мыскина,Евгений Кафельников
8,В какой из этих городов нельзя приехать на поезде?,Магадан,Алдан,Биробиджан,Абакан
9,В каком месяце в Испании отмечают День Мадрида?,Май,Июнь,Апрель,Март
