,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Что изготавливает бондарь?,бочки,болты,бороны,евробонды
1,Как называют не изменяющийся во времени электрический ток?,Постоянный,Стабильный,Непрерывный,Вечный
2,Что в переводе с греческого означает Мономах - родовое прозвище русского князя Владимира?,«Единоборец»,«Единоверец»,«Единомышленник»,«Единородный»
3,"Что означает латинское слово, от которого произошло слово «донор»?",Дарю,Беру,Приношу,Нахожу
4,В образе какого персонажа «Алисы в стране чудес» Кэрролл описал самого себя?,Птица Додо,Ящерка Билль,Чеширский Кот,Белый Кролик
5,В каком городе находится памятник счастливой семье?,Самара,Тобольск,Томск,Екатеринбург
6,Какое оружие не является метательным?,кончар,фустибал,болас,сулица
7,Какое животное было личной эмблемой Наполеона?,Пчела,Медведь,Орел,Лев
8,Какое растение имеет самый маленький цветок в мире?,Вольфия бескорневая,Орхидея Калания,Пассифлора,Психотрия возвышенная
9,"Какой князь был знаменитым физиком и геофизиком, одним из основоположников сейсмологии, академиком Петербургской АН?",Б. Б. Голицын,В. П. Мещерский,П. П. Гагарин,Е. П. Оболенский
