,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какого цвета нет в автомобильном светофоре?,Синий,Зелёный,Красный,Жёлтый
1,Каково население Антарктиды (в количестве постоянно проживающих человек)?,0,1024,19,286
2,"Кто автор картины ""Голубые танцовщицы""?",Дега,Пикассо,Брюллов,Васнецов
3,"Как называли древние греки нимф рек, ручьёв и озёр?",Наяды,Дриады,Ореады,Нереиды
4,"Какое прозвище, ставшее фамилией, получил знаменитый шведский хоккеист Свен Юханссон?",Тумба,Сейф,Шкаф,Комод
5,Сколько железнодорожных вокзалов  расположено на кольцевой линии метро в Москве?,7,9,5,8
6,Какая российская река берет свое начало в Китае?,Иртыш,Ангара,Колыма,Лена
7,Между какими странами велась Столетняя война?,Англия и Франция,Англия и Испания,Франция и Испания,Нидерланды и Испания
8,Королевский балет какой страны стал известен благодаря 40-летнему руководству Августа Бурнонвиля?,Дания,Канада,Италия,Франция
9,"Кем, по сути, было мифическое существо Палуга из легенды о короле Артуре?",Кошка,Корова,Вепрь,Коршун
