,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какой праздник мы отмечаем 13 января?,Старый новый год,Пасха,День выхода на работу,Рождество
1,Кто из персонажей «Золотого телёнка» считал большинство окружающих «жалкими и ничтожными людьми»?,Паниковский,Балаганов,Корейко,Бендер
2,"В каком году советское правительство переехало в Кремль, после чего Москва снова стала столицей?",1918 г.,1919 г.,1920 г.,1917 г.
3,Где произошла первая буржуазная революция?,Нидерланды,Франция,Англия,Германия
4,"На какой площади Петербурга установлен монумент, посвященный победе в Отечественной войне 1812 года?",Дворцовая,Московская,Сенатская,Исаакиевская
5,Где растет дерево-свеча бангилумбанг?,Филиппины,Вануату,Фиджи,Кирибати
6,Для какой известной картины позировал художнику Николай Васильевич Гоголь?,«Явление Христа народу»,«Утро стрелецкой казни»,«Утро в сосновом лесу»,«Запорожцы пишут письмо турецкому султану»
7,Сколько детей родила Шахерезада царю Шахрияру к исходу тысячи и одной ночи?,Трех,Одного,Двух,Четырех
8,Какой девиз был у ордена Святого Александра Невского?,«За труды и Отечество»,«За любовь и Отечество»,"«Польза, честь и слава»",«За веру и верность»
9,В каком фильме или сериале Сальвадор Дали не играл самого себя?,«Андалузский пес»,«У меня есть секрет»,«Лицом к лицу»,«Дим Дам Дом»
