,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какой из этих городов расположен не на Волге?,Оренбург,Саратов,Казань,Самара
1,Как называется советский фильм-сказка режиссёра Геннадия Васильева?,«Финист — Ясный сокол»,«Финист — Дождевой червяк»,«Финист — Ветреный попугай»,«Финист — Пасмурный ворон»
2,Что из этого не аминокислота?,Бензол,Цистеин,Тирозин,Аланин
3,Как называется роман Джека Лондона?,«Морской волк»,«Морская звезда»,«Морская лисица»,«Морской лев»
4,Какой зверь изображен на гербе Перми?,Медведь,Волк,Лиса,Заяц
5,Чей вензель украшает центральную часть герба Краснодара?,Екатерины II,Павла I,Николая I,Елизаветы I Петровны
6,Какое из этих животных не змея?,Веретеница,Динодон,Слепозмейка,Щитомордник
7,"Кто из этих исторических личностей не упоминался на балу в романе ""Мастер и Маргарита""?",Нерон,Калигула,Мессалина,Малюта Скуратов
8,Какой из этих логических языков программирования был создан первым?,Плэнер,Пролог,Оз,Меркури
9,"Скольким литрам равен талант - древнеримская мера массы, равная массе воды в одной стандартной амфоре?",26 л,17 л,12 л,21 л
