,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Как называется песня Виктора Цоя?,«Алюминиевые огурцы»,«Железные кабачки»,«Медные помидоры»,«Титановые баклажаны»
1,Что из этого не является живой клеткой?,Тромбоцит,Лейкоцит,Фибробласт,Макрофаг
2,В каком городе родился Плутарх?,Херонея,Москва,Рим,Токио
3,Столица какой африканской страны еще не так давно называлась Лагос?,Нигерия,Сенегал,Уганда,Кения
4,Какая из этих столиц находится в северном полушарии?,Манила,Лусака,Буэнос-Айрес,Джакарта
5,На какой улице живет хорошая девочка Лида из стихотворения Ярослава Смелякова?,Южная,Северная ,Западная ,Восточная 
6,При каком правителе Римская империя достигла наибольшего объема?,Ульпий Траян,Адриан,Марк Аврелий,Диоклетиан
7,"Где укрылся отряд Спартака, бежав из Капуи?",Везувий,Апулия,Палермо,Киликия
8,Какие актеры получили Государственную премию СССР за роли в фильме В. Жалакявичюса «Никто не хотел умирать»?,Донатас Банионис и Бруно Оя,Регимантас Адомайтис и Донатас Банионис,Регимантас Адомайтис и Юозас Будрайтис,Юозас Будрайтис и Бруно Оя
9,Мавзолей какого полководца является одной из достопримечательностей местечка Йыгевесте в Эстонии?,М. Б. Барклай-де-Толли,П. И. Багратион,И. И. Дибич,И. Ф. Паскевич
