,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Как принято называть сделку, которая не соответствует требованиям закона?",Ничтожная,Никчёмная,Пустяковая,Плёвая
1,Как с легкой руки португальцев в Европе называли китайских чиновников?,Мандарин,Мандибул,Мандрил,Мандалай
2,"Какая фигура была предметом задач, из которых исторически сложилась тригонометрия?",Треугольник,Квадрат,Круг,Эллипс
3,"Как называлась денежная единица Франции, вместо которой в 1795 году был введен франк?",Ливр,Пистоль,Экю,Пиастр
4,В какой стране на Новый год приходит Дед Жар?,Камбоджа,Лаос,Бирма,Вьетнам
5,"Кто из фантастов является автором культового произведения ""Город""?",К. Саймак,Р. Бредбери,С. Лем,Р. Хайнлайн
6,Разновидность какого поварского инструмента называют «сантоку»?,Нож,Сковорода,Заварочный чайник,Сотейник
7,Какой физик впервые предложил «пудинговую» модель строения атома?,Дж. Томсон,Н. Бор,Л. де Бройль,Э. Резерфорд
8,"Откуда, согласно греческой мифологии, появился на свет Пегас?",Из туловища горгоны Медузы,Из облака на горе Геликон,От звуков лиры Аполлона,Из вод источника Гиппокрена
9,За что император Николай I наградил В. И. Даля Владимирским крестом в петлице?,За удачную переправу через Вислу,За  отличную службу на флоте,За заслуги в медицинском деле,За литературные труды
