,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Команды из какой страны составляют большинство в НБА - национальной баскетбольной ассоциации?,США,Франция,Австралия,Индия
1,"Как называется одна из частей романа М.Лермонтова ""Герой нашего времени""?","""Фаталист""","""Оптимист""","""Пессимист""","""Реалист"""
2,Какое из этих театральных званий выше?,Народный артист,Театральный магистр,Лауреат премии,Заслуженный артист
3,Какая спичка фигурирует в рассказе А.П. Чехова?,Шведская,Финская,Немецкая.,Голландская
4,"Кем был американец Джозеф Глидден, получивший в 1874 году патент на изобретение колючей проволоки?",фермером,кузнецом,архитектором,военным
5,Сколько дней длилась Великая Отечественная война?,1418,1475,1456,1520
6,Какая битва оказалась решающей в пунических войнах?,При Заме,При Каннах,При Требии,При Магнезии
7,Какая улица Москвы в XIX веке получила прозвище «святилище роскоши и моды»?,Кузнецкий мост,Знаменка,Охотный ряд,Волхонка
8,Какой из этих паразитов относится к простейшим?,Балантидий,Бычий цепень,Трихинелла,Цистицерк
9,"Какой медведь упоминается в стихотворении М. И. Цветаевой ""Тоска по Родине""?",Камчатский,Белый,Гималайский,Гризли
