,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Что характерно для первой открытой позиции ног в классическом балете?,"Пятки вместе, мыски врозь",Одна нога стоит перед другой,Пятка левой ноги напротив пальцев правой,Ноги на ширине плеч
1,Последним Генсеком какой партии был М. С. Горбачев?,КПСС,РСДРП,КПРФ,ВКП(б)
2,Какой купюры не бывает в США?,3 доллара,2 доллара,5 долларов,1000 долларов
3,"Вокруг какой площади в Варшаве сконцентрировался исторический район ""Старый город""?",Рыночной,Восстания,Базарной,Свободы
4,"В какой из структурных единиц нашей Армии до 1993 года присваивалось на одно воинское звание больше, чем в других?",Артиллерия,ВМФ,Химические войска,Мотострелки
5,В каком городе есть памятник пальцу?,Париж,Мельбурн,Чикаго,Шанхай
6,"В каком штате США в 2011 году был открыт первый частный космодром ""Америка""?",Нью-Мексико,Аляска,Техас,Флорида
7,"Назовите военного инженера — героя Севастополя, превратившего город в крепость во время обороны в Крымской войне 1853 - 1856 годов.",Э. И. Тотлебен,К. И. Величко,Ф. Ф. Ласковский,Ц. А. Кюи
8,"Какая река послужила натурой И. Левитану для написания картины ""У омута""?",Тьма,Волга,Истра,Съежа
9,Какая российская рок-группа снималась в фильме Юлия Колтуна «Переступить черту» в роли ансамбля «Бумажный змей»?,«Алиса»,«Аквариум»,«Машина времени»,«Наутилус Помпилиус»
