,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Какой мультипликационный персонаж пел о том, что хорошими делами прославиться нельзя?",старуха Шапокляк,Баба-яга,Кощей Бессмертный,кот Леопольд
1,Что означает латинская фраза «Alter ego»?,второй я,третий лишний,первый встречный,пятый угол
2,"Какую шахматную фигуру у нас часто именуют «офицером», а на Западе «епископом»?",слона,коня,ладью,ферзя
3,Что называют «земляным орехом»?,Арахис,Миндаль,Фундук,Грецкий орех
4,Какого отдела желудка нет у жвачных?,Мешок,Книжка,Рубец,Сетка
5,У кого из этих иллюзионистов настоящее имя Коткин?,Дэвид Копперфильд,Гарри Гудини,Игорь Кио,Амаяк Акопян
6,Из какого восточного единоборства родилось современное дзюдо?,Джиу-джитсу,Сумо,Каратэ,Тэквондо
7,Повествование о каких событиях характерно для китайской литературы жанра чжигуай?,Сверхъестественные,Военные,Обыденные,Праздничные
8,Какое неофициальное название получила российская глубоководная атомная подводная лодка АС-12?,"""Лошарик""","""Чебурашка""","""Ёжик в тумане""","""Золотая рыбка"""
9,Какому зарубежному писателю установлен памятник в Москве в Парке Дружбы?,Мигелю де Сервантесу,Ги де Мопассану,Александру Дюма-отцу,Виктору Гюго
