,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Как следует именовать жителей Новороссийска?,Новороссийцы,Новороссияне,Новые русские,Новорусичи
1,Какой персонаж действовал в романе «Война и мир»?,Ростов,Ростин,Ростокин,Расторгуев
2,Как называется столица Румынии?,Бухарест,Варшава,Братислава,Скопье
3,"Как заполнить пропуск в словах М. Ю. Лермонтова: ""Без... было бы на свете очень скучно""?",Дураков,Женщин,Хандры,Войн
4,"Как переводится с латыни термин ""камера обскура"", являющейся прабабушкой фотографии?",Темная комната,Комната полумрака,Запертая комната,Светлая комната
5,Когда в Узбекистане отмечают День независимости?,1 сентября,Не отмечают,1 апреля,1 января
6,"Кто не разрешил распространять в России манифест коммунистической партии на русском языке, заявив, что «кому надо, прочтут и на немецком»?",Тютчев Ф. И.,Победоносцев К. П.,Александр III,Бенкендорф А. Х.
7,Футбольная сборная какой страны лишь дважды выходила в финал чемпионата мира и оба раза становилась чемпионом?,Уругвай,Аргентина,Испания,Франция
8,В каком созвездии находится галактика Малое Магелланово Облако?,Тукан,Большой Пёс,Кит,Кассиопея
9,"Что, по легенде, написал на доске химик Марковников, когда его спросили о причинах отложенного ремонта корпуса университета?",C10H22 C3H7 Ag,U Kr Al I Au,С2H5OH Ru Pb,Ru   N2 = Ca Ba Re
