,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Как называются съедобные грибы, разновидность маслят?",козлята,цыплята,ягнята,телята
1,"Кто из этих авторов, писавших сказки о медведях и медвежатах, написал про мохнатого Мишу — короткий хвост?",Дмитрий Мамин-Сибиряк,Юрий Яковлев,Майкл Бонд,Иоанна Хмелевская
2,Как называется массовая гнездовая колония морских птиц?,Птичий базар,Птичья стоянка,Птичий рынок,Птичья ярмарка
3,"Каким было прозвище правителя всея Руси Ивана, известного тем, что благодаря его стараниям митрополия из Владимира была перенесена в Москву?",Калита,Гордый,Святой,Красный
4,Собаку какой породы подарили Малышу на день рождения в повести А. Линдгрен?,Таксу,Колли,Спаниеля,Пуделя
5,Какой из перечисленных подотрядов динозавров относится к хищным?,Тероподы,Цераподы,Тиреофоры,Завроподоморфы
6,"Кто из этих должностных лиц, заведовал при дворе Екатерины II винными погребами?",Обер-Шенк,Обер-шталмейстер,Обер-Гофмаршал,Обер-Гофмейстер
7,"Какой американец стал первым генералом армии, удостоенным Нобелевской премии мира?",Джордж Маршалл,Теодор Рузвельт,Вудро Вильсон,Генри Киссинджер
8,"На дверях мастерской какого художника Возрождения красовался девиз ""Рисунок - как у Микеланджело, колорит - как у Тициана""?",Тинторетто,Веронезе,Боттичелли,Мазаччо
9,"В какой балканской стране в 2009 г. были найдены останки динозавра, получившего название Balaur bondoc в честь местного фольклорного персонажа?",Румынии,Албании,Болгарии,Сербии
