,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Что появляется у спортсмена, получающего во время бега неожиданный прилив сил и бодрости?",второе дыхание,шестое чувство,третья молодость,первая любовь
1,Что покорнейше просил профессор Преображенский не предлагать Шарикову в цирке?,Пиво,Шампанское,Конфеты,Водка
2,Чем прославился Герострат?,Сжег храм Артемиды Эфесской,Взорвал маяк в Александрии,Снес Колосса Родосского,Вырубил висячие сады Семирамиды
3,Русский музей находится в...?,Санкт-Петербурге,Новгороде,Нью-Йорке,Москве
4,Где Наполеон ждал ключей от Кремля?,На Поклонной горе,В Филях,В Кунцево,В Останкинском дворце
5,"Как звучит окончание фразы, произнесенной королем Пруссии Фридрихом II: ""Шахматы воспитывают склонность к самостоятельному мышлению...""?","""... а потому не следует их поощрять""","""... а потому они необходимы в воспитании монархов""","""... а потому нужно играть в них как можно чаще""","""... а потому нужно всемерно их распространять"""
6,С каким тренером сборная ФРГ впервые стала чемпионом мира по футболу?,Зепп Хербергер,Хельмут Шён,Кайзер Франц,Франц Беккенбауэр
7,Какой персонаж комедии масок отсутствует в сюжете оперы Р. Леонкавалло «Паяцы»?,Пьеро,Коломбина,Арлекин,Паяц
8,Кто из этих писателей и драматургов является одним из основоположников драмы абсурда?,С. Беккет,Ю. О&#39;Нил,А. Миллер,Б. Пристли
9,Какая футбольная команда первой ввела практику размещения звезд на спортивной форме для обозначения достижений?,«Ювентус»,«Реал»,«Бенфика»,«Бавария»
