,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"По какому государству СНГ идет поезд, если пассажир видит в окне ""степь да степь кругом""?",Казаxстан,Армения,Белоруссия,Молдавия
1,Как в греческой мифологии называлось племя женщин-воительниц?,Амазонки,Евфратки,Миссисипки,Волжанки
2,Какая из этих авиакомпаний - голландская?,"""КЛМ""","""ЛОТ""","""Дельта""","""САС"""
3,"Какой цвет для голландцев является национальным, несмотря на флаг-триколор?",Оранжевый,Розовый,Красный,Голубой
4,Когда наступали греческие Календы?,Никогда,В новолуние,В марте,В полнолуние
5,Какого персонажа нет в пьесе Метерлинка «Синяя птица»?,Масло,Хлеб,Сахар,Молоко
6,Какое из этих государств во время Второй мировой войны формально соблюдало нейтралитет?,Швеция,Мексика,Новая Зеландия,Перу
7,К какому семейству относятся пыжики?,Чистиковые,Кулики-сороки,Водорезовые,Трёхпёрстки
8,"Кто был изображен на российской купюре 500 рублей, выпущенной при Николае II?",Пётр I,Екатерина II,Николай I,Александр II
9,Какой объект раз в двадцать лет становится вторым естественным спутником Земли?,Астероид 2006 RH120,Объект 6Q0B44E,Астероид Круитни,Троянский астероид 2010 TK7
