,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какое из этих блюд мог есть за своим столом Юрий Долгорукий?,Овсяная каша,Томатная паста,Картофельное пюре,Кукурузные xлопья
1,Имя одного из детских героев Марка Твена:,Гекльберри,Блюберри,Пилсберри,Расберри
2,В какой стране происходит действие трагедии Уильяма Шекспира «Гамлет»?,Дания,Ирландия,Швеция,Норвегия
3,Какую из этих картин написал не И. Е. Репин?,«Утро стрелецкой казни»,«Запорожцы пишут письмо…»,«Бурлаки на Волге»,«Иван Грозный и сын его Иван»
4,Где впервые была озвучена мысль «Кто не работает – тот не ест»?,В Новом Завете,В работах Л. И. Гайдая,В Моральном кодексе строителя коммунизма,В работах В. И. Ленина
5,Для чего создана математическая модель Изинга?,статистической физики,макроэкономики,когнитивной географии,космологии
6," Название какого города в переводе означает ""желтая гора""?", Саратов, Самара, Чебоксары, Саранск
7,Лидер какой американской рок-группы в 2017 году защитил диссертацию по биоинформатике?,The Offspring,Linkin Park,Imagine Dragons,Bloodhound Gang
8,Какую религию придумал Курт Воннегут в своём романе «Колыбель для кошки»?,Боконизм,Дудеизм,Пастафарианство,Семибожие
9,Какое государство было уничтожено позже остальных?,Парфянское царство,Мидийское царство,Урарту,Ассирийское царство
