,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какая армия была создана под руководством Семёна Будённого?,Первая конная,Вторая артиллерийская,Четвертая дембельская,Третья пехотная
1,Именем какого древнего грека часто называют наставника молодёжи?,Ментор,Гектор,Ахилл,Одиссей
2,"Какие из этих букв необходимо взять для превращения слова ""могу"" в глагол совершенного вида?",«с»,«ч» и «ь»,"«ж», «е» и «т»",«л» и «а»
3,Как иначе называется аллигаторова груша?,Авокадо,Папайа,Кассава,Маракуйя
4,Как называлась первая латиноамериканская «мыльная опера» на российском телевидении?,«Рабыня Изаура»,«Богатые тоже плачут»,«Просто Мария»,«Моя вторая мама»
5,В ведении какого монашеского ордена находилась средневековая инквизиция?,Доминиканцы,Капуцины,Иезуиты,Бенедиктинцы
6,"Какой город Э.Хэмингуэй назвал ""праздник, который всегда с тобой""?",Париж,Нью-Йорк,Мадрид,Рим
7,"Какой температуре, в градусах по Фаренгейту, соответствует ноль градусов по Цельсию?", 32,"-17,8",0,-32
8,Чьей супругой была Энн Хатауэй?,Шекспира,Робина Гуда,Кромвеля,Генриха VIII
9,"О ком Лев Ошанин написал поэму ""Вода бессмертия""?",Об Александре Македонском,О Христофоре Колумбе,О Василии Чапаеве,Об Юлии Цезаре
