,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Как заканчивается пословица: ""Один в поле не воин, а...""?",Путник,Сторож,Турист,Отшельник
1,Как называется популярный бразильский танец?,Самба,Танго,Ча-ча-ча,Румба
2,Как называется жилище из снега у канадских эскимосов?,Иглу,Яранга,Типи,Чум
3,В каком городе живет королевская семья Нидерландов?,Гаага,Утрехт,Амерсфурт,Амстердам
4,Как назывался балет на музыку Андрея Яковлевича Эшпая?,«Ангара»,«Печора»,«Енисей»,«Магадан»
5,Когда жил Горацио Нельсон?,1758-1805,1602-1665,1805-1854,1659-1706
6,Какая этническая группа в США является наиболее многочисленной?,Немцы,Афроамериканцы,Ирландцы,Англичане
7,В каком командном виде спорта российские спортсмены выиграли олимпийское золото в последний день Олимпиады-2012 в Лондоне?,Волейбол,Водное поло,Гандбол,Баскетбол
8,Что построили в Большом Кремлёвском дворце в ноябре 1941 года?,Трибуну Мавзолея,Бомбоубежище,Вход в тоннель метро,Резервную электростанцию
9,"В какой из этих стран Центральной Америки денежная единица получила своё название в честь птицы, являющейся национальным символом?",Гватемала,Белиз,Гондурас,Сальвадор
