,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Куда рвался на волю сумасшедший географ из романа «Золотой телёнок»?,в пампасы,в ананасы,в свинопасы,в Черкассы
1,Какой святой изображен на государственном гербе Грузии?,Святой Георгий,Святой Иоанн,Святой Николай,Святой Михаил
2,Каким из этих социальных статусов Наполеон Бонапарт обладал позже чем другими?,Ссыльный,Император,Генерал,Первый консул
3,Какой из этих всемирно известных музеев находится в Лаврушинском переулке?,Третьяковская галерея,Оружейная палата,Алмазный фонд,ГМИИ им. А.С.Пушкина
4,Какая река занимает второе место в мире по площади водосбора?,Конго,Амазонка,Янцзы,Миссисипи
5,В какой игре из международных соревнований присуждается звание гроссмейстера?,Бридж,Преферанс,Вист,Покер
6,Где открыли первый в России памятник французскому писателю Жюль Верну?,Нижний Новгород,Москва,Сочи,Санкт-Петербург
7,"Как прозвали охотничий домик, в котором обычно барон Мюнхгаузен рассказывал о своих похождениях?",Павильон лжи,Гостиная выдумок,Беседка небылиц,Трактир вранья
8,"Какой предмет, установленный на фасаде Храма Гроба Господня в Иерусалиме, является одним из символов межконфессиональных разногласий в христианстве?",Лестница,Якорь,Скульптура рыбы,Весло
9,Какой валет атласной карточной колоды до 1917 года носил на щите герб Российской империи?,Червей,Бубён,Пик,Треф
