,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Автором какого из этих романов не является Жюль Верн?,"""Капитанская дочка""","""Пятнадцатилетний капитан""","""Таинственный остров""","""Дети капитана Гранта"""
1,Что в дословном переводе с немецкого языка означает слово «бутерброд»?,Хлеб с маслом,Ленивая хозяйка,Режь и ешь,Быстрый завтрак
2,В какой из стран американского континента государственный язык — португальский?,Бразилия,Боливия,Венесуэла,Чили
3,При посредничестве какого президента США Египет и Израиль заключили мирный договор?,Джимми Картер,Джеральд Форд,Рональд Рейган,Ричард Никсон
4,"Кем, как считается, был родоначальник династии Медичи?",Врачом,Учителем,Священником,Юристом
5,"Какое море древние греки называли ""Понт Эвксинский""?",Черное,Адриатическое,Мраморное,Красное
6,В каком отделе сердца заканчивается малый круг кровообращения?,Левое предсердие,Правый желудочек,Левый желудочек,Правое предсердие
7,Какой химический элемент Менделеева обозначается 21-й буквой латинского алфавита?,Уран,Кислород,Ванадий,Фосфор
8,"Кого из королей Пруссии называли ""королем-солдатом""?",Фридрих Вильгельм I,Фридрих II Великий,Фридрих III,Фридрих Вильгельм II
9,Какая из этих рок-групп часто использует в своем творчестве темы из скандинавской мифологии?,"""Manowar""","""Korn""","""Kiss""","""Linkin Park"""
