,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Какой ученый открыл три закона, лежащие в основе классической механики?",Ньютон,Лейбниц,Архимед,Ломоносов
1,"Русский ученый и путешественник, изучавший жизнь народов, населяющих острова Тихого океана.",Н. Н. Миклухо-Маклай,Г. Я. Седов,В. Беринг,Ф. Ф. Беллинсгаузен
2,Чем занимается мерчендайзер?,Выкладывает товары,Проводит селекцию яблок,Тестирует подводные лодки,Разрабатывает дизайн автомобилей
3,Как звали одного из братьев П. И. Чайковского?,Модест,Орест,Эрнст,Михаил
4,Какое из этих азотистых оснований отсутствует в составе ДНК?,Присутствуют все,Гуанин,Тимин,Цитозин
5,В каком городе году был открыт памятник А. С. Пушкину и  В. И. Далю?,Оренбург,Петербург,Одесса,Москва
6,"Премьера оперы какого композитора состоялась, когда ему было 14 лет?",Ф. Лист,Ф. Мендельсон,А. Сальери,Р. Вагнер
7,"Какой древнеримский император сказал: ""Друзья мои, я потерял день!""?",Тит,Вителлий,Домициан,Веспасиан
8,Что из перечисленного не изображено на гербе Исландии?,Лев,Дракон,Бык,Птица
9,Какой спортсмен является самым титулованным прыгуном на лыжах с трамплина в истории Олимпийских игр?,Матти Нюкянен,Симон Амман,Томас Моргенштерн,Грегор Шлиренцауэр
