,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Сколько очков в баскетболе приносит команде попадание в корзину после броска из-за трехочковой линии?,Три,Два,Одно,Ноль
1,В честь какого шоколадного батончика компания Google назвала одну из версий своей операционной системы Android?,KitKat,Twix,Bounty,Snickers
2,Какое из этих названий тканей омоним названия города в США?,Бостон,Шевиот,Вельвет,Ратин
3,"Какой физик, показавший Наполеону опыты с электрическим током, получил титул графа и орден Почётного легиона?",Алессандро Вольта,Джеймс Уатт,Георг Ом,Андре-Мари Ампер
4,Какую картину написал художник И. И. Левитан?,«Осень. Охотник»,«Зима. Лыжник»,«Весна. Доярка»,«Лето. Рыбак»
5,Высочайшей точкой чего является гора Мак-Кинли?,Северной Америки,Австралии,Антарктиды,Южной Америки
6,Какая страна занимает первое место в таблице коэффициентов УЕФА по итогам выступления клубных команд?,Испания,Англия,Италия,Германия
7,Какой из этих китов крупнее?,Блювал,Гренландский,Горбатый,Кашалот
8,"Кто должен был стать соперником Александра Поветкина в финальном бою Олимпиады в Афинах, однако не вышел на ринг из-за травмы?",Мухаммед Али,Эвандер Холифилд,Иван Поддубный,Владимир Кличко
9,Какой арбитр судил скандальный футбольный матч 1/8 финала ЧМ-2002 между Южной Кореей и Италией?,Байрон Морено,Анатолий Абдула,Пьерлуиджи Коллина,Маркус Мерк
