,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Как называется жанр духовной христианской музыки, появившийся в конце XIX века и развившийся в первой трети XX века в США?",Госпел,Аллилуйя,Регтайм,Соул
1,Какие грибы существуют?,Дождевики,Росянки,Ливневики,Туманники
2,"Как называется девятый месяц исламского лунного календаря, в который необходимо соблюдать пост?",Рамадан,Мухаррам,Сафар,Раджай
3,Столице какого их этих государств дал название мост?,Барбадос,Маврикий,Исландия,Тонга
4,Когда было водружено Знамя Победы на крыше здания рейхстага в Берлине?,1 мая,8 мая,9 мая,29 апреля
5,Какое из этих галактических образований имеет большие размеры?,Ланиакея,Млечный Путь,Местная Группа галактик,Сверхскопление Девы
6,Во имя кого был назван собор в пригороде Лондона Хемпстеде?,Святой Павел,Святая Екатерина,Святой Эмиль,Святой Албан
7,"Кем, по национальности, был предводитель восстания гладиаторов Спартак?",Фракиец,Германец,Иллириец,Галл
8,Какое животное изображено на гербе Эритреи?,Верблюд,Лев,Слон,Лошадь
9,Каким учёным была предпринята первая значимая попытка систематизации химических элементов?,Иоганн Вольфганг Дёберейнер,Александр де Шанкуртуа,Леопольд Гмелин,Джон Ньюлендс
