,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Кто судит поединок боксёров на ринге?,рефери,арбитр,прокурор,присяжный заседатель
1,Как называется корейская валюта?,Вона,Донг,Доллар,Иена
2,Какое из этих больших озёр находится в Европе?,Балатон,Виктория,Гурон,Байкал
3,Какой пряностью подкрашивают рис в традиционной испанской паэлье?,шафран,базилик,майоран,фенхель
4,В какой валюте выиграл деньги герой фильма «Миллионер из трущоб»?,рупии,доллары,песо,динары
5,Чем занимался герой рассказа Лескова «Тупейный художник»?,стриг людей,писал картины,делал игрушки,шил одежду
6,Что драматург Пьер Огюстен Бомарше преподавал дочерям Людовика XV?,Музыку,Литературу,Историю,Французский язык
7,"Какой философ первым ввел понятие ""пессимизм""?",Шопенгауэр,Кант,Ницше,Юм
8,"Как называется столяр, специалист по изготовлению простых изделий, без фанеровки и полировки?",Белодеревщик,Светлодеревщик,Темнодеревщик,Серодеревщик
9,Кем не был Дуайт Филли Дэвис — основатель Кубка Дэвиса по теннису?,Губернатор штата Миссури,Глава Брукингского института,Военный министр США,Генерал-губернатор Филиппин
