,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Какие ноты должны звучать, чтобы получился интервал кварта?",До и фа,Ми и соль,Си и ля,Ре и фа-диез
1,Кто на службе часто повторяет фразы: «Посмотрите налево. Посмотрите направо»?,Экскурсовод,Дворник,Продавец,Милиционер
2,"Как звали первого министра короля Пица VI Арканарского из повести Стругацких ""Трудно быть богом""?",Дон Рэба,Доктор Будах,Отец Кабани,Дон Румата Эсторский
3,"Как звали автора ""Кармен"" композитора Бизе?",Жорж,Жан,Жюль,Жак
4,Какая из этих рек впадает в Азовское море?,Дон,Южный Буг,Днестр,Днепр
5,В речах какого автора сложился фразеологизм «разброд и шатания»?,В. И. Ленин,Юлий Цезарь,Цицерон,Г. В. Плеханов
6,"Кто автор слов: «Дожить до старости ещё не вся наука, куда трудней достоинство хранить»?",А. Дементьев,М. Танич,Л. Рубальская,Э. Асадов
7,В каком фильме дебютировал как актер Леонид Быков?,"""Судьба Марины""","""Укротительница тигров""","""Максим Перепелица""","""Добровольцы"""
8,"Русский перевод гимна какой территории включает слова: «Пускай твою землю топтали враги, Твой чудный и древний язык не погиб»?",Уэльс,Северная Ирландия,Шотландия,Остров Мэн
9,"Какой из правильных многогранников Платон не сопоставил ни с одной из четырёх стихий: земля, вода, воздух, огонь?",Додекаэдр,Тетраэдр,Икосаэдр,Октаэдр
