,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Кто получил злополучное ""яблоко раздора""?",Афродита,Исаак Ньютон,Ева,Белоснежка
1,"Как астрономы называют точку, противоположную зениту?",Надир,Антипод,Антизенит,Точка зеро
2,Какое из этих государств находится на африканском континенте?,Бенин,Белиз,Босния и Герцеговина,Бутан
3,Как в России называли первый железнодорожный локомотив Черепановых?,Пароход,Самолёт,Тепловоз,Паровик
4,Из скольких шаров лепят снеговиков в Японии?,2,3,5,4
5,"Кто сыграл Мальволио в фильме ""Двенадцатая ночь""?",Меркурьев,Филиппов,Ильинский,Яншин
6,В какой области России находится районный центр Рассказово?,Тамбовская,Рязанская,Псковская,Тверская
7,Герб какого государства представляет собой изображение «львиной капители»?,Индия,Ангола,Дания,Мексика
8,Как называется административный центр Шпицбергена?,Лонгйир,Фёуске,Нарвик,Буде
9,Какое прозвище носил знаменитый исландский путешественник Лейф Эрикссон?,Счастливый,Викинг,Рыжий,Мореплаватель
