,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какого персонажа нет в кинокомедии «Кавказская пленница»?,Горбатого,Труса,Бывалого,Балбеса
1,Какой из этих сериалов был показан в России самым первым?,«Рабыня Изаура»,«Богатые тоже плачут»,«Дикая Роза»,«Санта-Барбара»
2,В названии какого фильма нет цифры 7?,"""В ... часов вечера после войны""","""Белоснежка и... гномов""","""... невест ефрейтора Збруева""","""... стариков и одна девушка"""
3,Какая из этих меховых шапок имеет лисий хвост?,«Ермак»,«Малахай»,«Север»,«Умка»
4,К какой таксономической группе относятся сине-зеленые водоросли?,Бактерии,Водоросли,Грибы,Простейшие
5,Какое название носил город Кировоград с 1924 по 1934 год?,Зиновьевск,Бухаринск,Красинск,Каменевск
6,Какое выражение оставил потомкам один из духовных отцов Америки Бенджамин Франклин?,"""Время - деньги""","""Цент доллар бережёт""","""Деньги не пахнут""","""Не в деньгах счастье"""
7,В каком регионе России находится старинный город Сарапул?,Удмуртия,Оренбургская область,Башкортостан,Татарстан
8,"Какая книга была продана на аукционе в 1994 году за рекордные 30,8 млн. долларов?","""Лестерский Кодекс"" Леонардо да Винчи",Первое издание пьес Уильяма Шекспира,Библия Гутенберга,"""Птицы Америки"" Дж. Дж. Одюбона"
9,"Кто является единственным известным науке животным, способным производить свои собственные каротиноиды?",Гороховая тля,Чаша Нептуна,Пурпурный стронгилоцентротус,Книжный сеноед
