,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,"Какое хлебобулочное изделие ушло и от бабушки, и от дедушки?",Колобок,Рогалик,Расстегай,Бублик
1,Кто из участников судебного процесса в США должен подтверждать свои слова клятвой?,Свидетель,Судья,Адвокат,Прокурор
2,В каком из этих месяцев 30 дней?,Июнь,Март,Август,Июль
3,Какое животное начинает каждый цикл восточного календаря?,Крыса,Кролик,Дракон,Бык
4,К какому отряду относится слепень?,Двукрылые,Жесткокрылые,Перепончатокрылые,Чешуекрылые
5,Какое ягодное растение по-другому называется гонобобель?,Голубика,Куманика,Морошка,Костяника
6,Кто был первым «Хранителем традиций» в телеклубе «Что? Где? Когда?»?,Михаил Барщевский,Григорий Гусельников,Александр Поповский,Владимир Ворошилов
7,К какому семейству относятся пыжики?,Чистиковые,Кулики-сороки,Водорезовые,Трёхпёрстки
8,"Какой греческий композитор является автором Олимпийского гимна, впервые исполненного в 1896 году?",Спирос Самарас,Димитриос Семсис,Стаматис Спанудакис,Никос Портокалоглу
9,Кто был первым официальным военным министром Российской Империи?,С. К. Вязмитинов,М. Б. Барклай-де-Толли,А. А. Аракчеев,П. П. Коновницын
