,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Как называется официальная денежная единица Японии?,Иена,Йога,Йота,Йети
1,Чему пел песню Максим Горький в «Песне о Соколе»?,безумству храбрых,безгрешности верных,бесстрашию гордых,бескорыстию щедрых
2,"Какой цветок немцы называют ""майский колокольчик"", а болгары - ""слеза девушки""?",Ландыш,Львиный зев,Ромашку,Василёк
3,"Как звали жену египетского царя Птолемея, которая свои волосы принесла в жертву за победы мужа?",Вероника,Ариадна,Кассиопея,Вега
4,"Какое слово пропущено во фразе Максима Горького — «Знать надобно..., тогда, может быть, что-нибудь узнаешь»?",Всё,Любовь,Людей,Книги
5,Какая профессия была у первого хозяина Каштанки?,Столяр,Сторож,Плотник,Слесарь
6,"Как зовут этого мультипликационного персонажа, популярного в начале 20-ых годов?",Felix the Cat,Nosy the Cat,Simon the Cat,Sam the Cat
7,"Какой русский учёный, считая Рене Декарта предтечей своих исследований, установил его памятник-бюст у своей лаборатории?",И. Павлов,М. Бехтерев,И. Сеченов,Д. Менделеев
8,"В каком городе издавалась с 1857 г. А. Герценом и Н. Огаревым первая российская революционная газета ""Колокол""?",Лондон,Цюрих,Париж,Амстердам
9,Какая из серий этих искусственных спутников Земли не была произведена в СССР?,«Симфония»,«Ореол»,«Океан»,«Молния»
