,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Какое из этих слов означает птицу семейства голубиных?,Вяхирь,Тодорка,Алекпер,Чубайса
1,Какое прозвище было у Жака Ширака?,Бульдозер,Экскаватор,Толкач,Подъёмник
2,"Как называется пояс, носимый поверх кимоно?",Оби,Маваси,Датедзими,Обиаге
3,На каком языке написана партия Аиды?,На итальянском,На французском,На английском,На немецком
4,Какой художник написал серию картин «Наполеон I в России»?,Василий Верещагин,Василий Суриков,Лев Лагорио,Франц Рубо
5,"Какой необычный памятник можно увидеть в чешском городе Дачице, установленном в честь изобретения Якова Кристофа Рада?",Сахар-рафинад,Степлер,Пивная бутылка,Застежка-молния
6,Какой из этих терминов обозначает часть груди муравья?,Скутум,Умбон,Хитон,Пластрон
7,Какой римский император любил выступать на арене в качестве гладиатора?,Коммод,Нерон,Тиберий,Калигула
8,В какой стихотворной форме написаны предсказания Нострадамуса?,Катрен,Терцет,Октава,Дистих
9,Какое утверждение неверно для десятичной системы измерения времени принятой в Первой французской республике?,В году было 10 месяцев,В часе было 100 минут,В одном дне было 10 часов,В минуте было 100 секунд
