,quest_text,correct,uncorrect1,uncorrect2,uncorrect3
0,Как в России XVIII века называли не достигших совершеннолетия дворянских отпрысков?,Недоросль,Подросток,Недоросток,Поросль
1,"Как назывался пароход Сергея Сергеевича Паратова из ""Жестокого романса""?","""Ласточка""","""Чайка""","""Галка""","""Сокол"""
2,Кто из этих героев появился в романе Виктора Гюго «Отверженные»?,Мальчик Гаврош ,Мамаша Кураж,Мадемуазель Нитуш,Бродяга Челкаш
3,Какой альбом группа «Пинк Флойд» записала в 1979 году?,«Стена»,«Окно»,«Пол»,«Потолок»
4,Имя какого драматурга связано с Малым театром?,Александра Островского,Александра Вампилова,Михаила Булгакова,Антона Чехова
5,Какой из этих российских городов больше по населению?,Екатеринбург,Челябинск,Нижний Новгород,Казань
6,"Какой мост изобразили на своих картинах и Архип Куинджи, и Константин Коровин?",Москворецкий,Крымский,Карлов,Аничков
7,Чему равна разница в миллиметрах между соседними размерами оружейной дроби?,"0,25","0,20","0,10","0,30"
8,За определение пространственной структуры молекулы какого белка Дж. Кендрю получил Нобелевскую премию по химии?,Миоглобин кашалота,Альбумин человека,Коллаген крысы,Трансферрин кролика
9,"Как звали последнего царя Македонии, правившего до 168 г. до н. э.?",Персей,Антей,Протей,Тесей
